Date,ConnType,Lat,Lon,Download,Upload,Latency,ServerName,InternalIp,ExternalIp
"2012-06-17 16:20","Umts","32.21380","-110.96687",12658,1325,1362,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 16:18","Umts","32.21380","-110.96687",8694,316,235,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 16:15","Umts","32.21380","-110.96687",7209,1465,1369,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 16:13","Umts","32.21380","-110.96687",10481,1501,1279,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 16:10","Cell","32.21380","-110.96687",13967,2360,1488,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 16:09","Cell","32.21380","-110.96687",11246,883,366,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 16:08","Cell","32.21380","-110.96687",13789,586,249,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 16:07","Cell","32.21380","-110.96687",8737,697,254,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 16:06","Cell","32.21380","-110.96687",9505,941,364,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 16:06","Cell","32.21380","-110.96687",11123,643,282,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 16:05","Cell","32.21380","-110.96687",8487,1021,262,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 16:05","Cell","32.21380","-110.96687",10278,791,454,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:46","Cell","32.22195","-110.95917",6177,854,373,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:41","Umts","32.22112","-110.90948",9459,2224,1302,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:40","Umts","32.22112","-110.90948",5481,1967,1344,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:39","Umts","32.22112","-110.90948",11108,1579,1315,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:39","Cell","32.22112","-110.90948",8244,937,149,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:38","Cell","32.22112","-110.90948",12722,1689,131,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:38","Umts","32.22112","-110.90948",1604,2825,1358,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:36","Umts","32.22112","-110.90948",1,1374,1303,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:35","Cell","32.22112","-110.90948",1538,1674,253,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:35","Cell","32.22112","-110.90948",2979,92,167,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:34","Umts","32.22112","-110.90948",5981,1024,1318,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:33","Cell","32.22112","-110.90948",16836,2390,136,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:33","Umts","32.22112","-110.90948",19921,3032,1320,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:31","Cell","32.22112","-110.90948",8169,2846,146,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:29","Umts","32.22112","-110.90948",6304,2380,1448,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:28","Cell","32.22314","-110.90742",10342,949,155,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:19","Umts","32.27689","-110.92307",9851,1596,1254,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:18","Umts","32.27689","-110.92307",4795,2638,1365,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:17","Cell","32.27689","-110.92307",13360,2295,1477,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:17","Cell","32.27689","-110.92307",15481,2403,130,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:16","Cell","32.27689","-110.92307",278,1448,143,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:14","Cell","32.27689","-110.92307",9386,2405,124,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:14","Cell","32.27689","-110.92307",12587,2286,1351,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:13","Umts","32.27689","-110.92307",7594,1152,1302,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:12","Cell","32.27689","-110.92307",6016,2586,130,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:12","Umts","32.27689","-110.92307",14726,398,1241,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:11","Umts","32.27689","-110.92307",14887,1392,1518,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:10","Umts","32.27689","-110.92307",7530,1243,1252,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:09","Cell","32.28594","-110.93533",5901,2203,148,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:09","Cell","32.28594","-110.93533",11732,2388,119,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:09","Cell","32.29423","-110.93982",18933,2312,122,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:08","Cell","32.29423","-110.93982",16715,2584,132,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:08","Cell","32.29423","-110.93982",14269,2875,144,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:08","Cell","32.29423","-110.93982",20596,3788,137,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:07","Umts","32.29423","-110.93982",16543,3114,1390,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:07","Umts","32.29423","-110.93982",14619,1623,1389,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:06","Umts","32.29051","-110.94316",4111,1598,174,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:02","Umts","32.31831","-110.93981",2222,1659,1391,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 15:02","Umts","32.31270","-110.94402",5164,1491,1297,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 14:42","Umts","32.31554","-110.93243",6299,243,152,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 12:53","Umts","32.31554","-110.93243",14918,1704,1442,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 12:21","Umts","32.31667","-110.93724",7982,1269,128,"Tempe, AZ","100.140.110.27","206.29.182.221"
"2012-06-17 12:08","Umts","32.31270","-110.94402",1183,282,1400,"Tempe, AZ","100.140.110.27","206.29.182.221"
